Confirmed,Date,Deaths,People_Hospitalized,People_Tested,Province_State,Recovered
8,03-14-2020,0,0,340,Vermont,0
30,03-14-2020,0,0,147,Virginia,0
6,03-14-2020,0,0,137,Utah,0
51,03-14-2020,0,0,51,Texas,0
32,03-14-2020,0,0,162,Tennessee,0
9,03-14-2020,0,0,191,South Dakota,0
13,03-14-2020,0,0,123,South Carolina,0
20,03-14-2020,0,0,218,Rhode Island,0
2,03-14-2020,0,0,2,Wyoming,0
30,03-14-2020,0,0,367,Oregon,0
4,03-14-2020,0,0,40,Oklahoma,0
13,03-14-2020,0,0,63,Ohio,0
524,03-14-2020,0,0,3303,New York,0
20,03-14-2020,0,0,188,Nevada,0
10,03-14-2020,0,0,247,New Mexico,0
50,03-14-2020,1,0,147,New Jersey,0
7,03-14-2020,0,0,219,New Hampshire,0
14,03-14-2020,0,0,94,Nebraska,0
1,03-14-2020,0,0,55,North Dakota,0
23,03-14-2020,0,0,160,North Carolina,0
47,03-14-2020,0,0,252,Pennsylvania,0
5,03-15-2020,0,0,179,Idaho,0
64,03-15-2020,0,0,513,Illinois,0
19,03-15-2020,0,0,121,Indiana,0
8,03-15-2020,1,0,143,Kansas,0
1480,03-15-2020,0,0,1685,Michigan,0
90,03-15-2020,2,0,246,Louisiana,0
64,03-15-2020,0,0,648,Massachusetts,0
31,03-15-2020,0,0,125,Maryland,0
18,03-15-2020,0,0,101,Iowa,0
16,03-15-2020,1,0,155,Kentucky,0
2,03-15-2020,0,0,2,Hawaii,0
131,03-15-2020,1,0,758,Colorado,0
116,03-15-2020,4,0,794,Florida,0
6,03-15-2020,0,0,42,Delaware,0
16,03-15-2020,0,0,95,District of Columbia,0
20,03-15-2020,0,0,145,Connecticut,0
293,03-15-2020,5,0,1209,California,0
12,03-15-2020,0,36,133,Arizona,0
16,03-15-2020,0,0,119,Arkansas,0
12,03-15-2020,0,0,40,Alabama,0
1,03-15-2020,0,0,144,Alaska,0
128,03-15-2020,0,0,1515,Minnesota,0
99,03-15-2020,1,0,99,Georgia,0
5,03-15-2020,0,0,127,Missouri,0
3,03-15-2020,0,0,94,Maine,0
7,03-15-2020,0,0,110,Montana,0
10,03-15-2020,0,0,94,Mississippi,0
0,03-15-2020,0,0,38,West Virginia,0
37,03-15-2020,0,0,350,Wisconsin,0
2738,03-15-2020,57,0,19896,Washington,0
12,03-15-2020,0,0,417,Vermont,0
45,03-15-2020,1,0,408,Virginia,0
28,03-15-2020,0,0,159,Utah,0
39,03-15-2020,0,0,196,Tennessee,0
9,03-15-2020,0,0,336,South Dakota,0
19,03-15-2020,0,0,173,South Carolina,0
20,03-15-2020,0,0,291,Rhode Island,0
63,03-15-2020,0,0,268,Pennsylvania,0
56,03-15-2020,0,0,56,Texas,0
9,03-15-2020,0,0,127,Oklahoma,0
32,03-15-2020,0,0,259,North Carolina,0
36,03-15-2020,0,0,456,Oregon,0
1,03-15-2020,0,0,96,North Dakota,0
3,03-15-2020,0,0,3,Wyoming,0
13,03-15-2020,0,0,284,New Hampshire,0
17,03-15-2020,0,0,97,Nebraska,0
13,03-15-2020,0,0,495,New Mexico,0
21,03-15-2020,1,0,189,Nevada,0
729,03-15-2020,3,0,5272,New York,0
36,03-15-2020,0,0,175,Ohio,0
98,03-15-2020,2,0,218,New Jersey,0
21,03-16-2020,1,0,255,Kentucky,0
93,03-16-2020,0,0,1025,Illinois,0
24,03-16-2020,1,0,139,Indiana,0
11,03-16-2020,1,0,177,Kansas,0
115,03-16-2020,2,0,303,Louisiana,0
179,03-16-2020,0,0,2018,Minnesota,0
37,03-16-2020,2,0,131,Maryland,0
17,03-16-2020,0,0,781,Maine,0
1933,03-16-2020,0,0,2205,Michigan,0
5,03-16-2020,0,0,270,Idaho,0
97,03-16-2020,0,0,1296,Massachusetts,0
22,03-16-2020,0,0,105,Iowa,0
28,03-16-2020,0,0,56,Alabama,0
3,03-16-2020,0,0,26,Guam,0
121,03-16-2020,1,0,121,Georgia,0
141,03-16-2020,4,0,825,Florida,0
8,03-16-2020,0,0,44,Delaware,0
17,03-16-2020,0,0,113,District of Columbia,0
26,03-16-2020,0,0,151,Connecticut,0
131,03-16-2020,1,0,758,Colorado,0
335,03-16-2020,6,0,8316,California,0
18,03-16-2020,0,42,143,Arizona,0
0,03-16-2020,0,0,0,American Samoa,0
22,03-16-2020,0,0,154,Arkansas,0
1,03-16-2020,0,0,144,Alaska,0
7,03-16-2020,0,0,7,Hawaii,0
0,03-16-2020,0,0,0,Northern Mariana Islands,0
6,03-16-2020,0,0,170,Missouri,0
7,03-16-2020,0,0,205,Montana,0
12,03-16-2020,0,0,289,Mississippi,0
3,03-16-2020,0,0,3,Wyoming,0
0,03-16-2020,0,0,80,West Virginia,0
56,03-16-2020,0,0,560,Wisconsin,0
